Age Mya,dC,Age kya,Age kya compressed,Plotting Age
636.9684448,-3.37,636968,243648,-23703
636.9229294,-3.5,636922,243631,-23686
636.8736212,-2.96,636873,243612,-23667
636.4753621,-1.55,636475,243460,-23515
636.4639833,-2.26,636463,243455,-23510
636.4298468,-2.58,636429,243442,-23497
636.4108821,-2.3,636410,243435,-23490
636.3957103,-2.92,636395,243429,-23484
636.3729526,-2.48,636372,243420,-23475
636.350195,-2.57,636350,243412,-23467
636.350195,-2.9,636350,243412,-23467
636.3236444,-2.46,636323,243402,-23457
636.2857149,-1.32,636285,243387,-23442
636.2705432,-2.14,636270,243381,-23436
636.2401996,-2.56,636240,243370,-23425
636.213649,-2.54,636213,243360,-23415
636.1719266,-3.03,636171,243344,-23399
636.1415831,-3.04,636141,243332,-23387
636.1150325,-3.71,636115,243322,-23377
636.080896,-1.88,636080,243309,-23364
636.0619313,-2.82,636061,243302,-23357
636.0240019,-3.21,636024,243287,-23342
635.9405571,-3.5,635940,243255,-23310
635.8343547,-5.56,635834,243215,-23270
635.8002182,-9.57,635800,243202,-23257
635.5422981,-1.3,635542,243103,-23158
635.477818,-0.78,635477,243078,-23133
635.4436815,2.35,635443,243065,-23120
635.3905803,0.8,635390,243045,-23100
635.2654132,3.94,635265,242997,-23052
635.2274838,2.55,635227,242983,-23038
635.1705896,3.41,635170,242961,-23016
635.1212813,3.95,635121,242942,-22997
634.9733565,3.03,634973,242885,-22940
634.7078505,3.34,634707,242784,-22839
634.6433705,-2.53,634643,242759,-22814
633.7634076,-1.33,633763,242423,-22478
633.266532,-4.48,633266,242232,-22287
632.5496657,-3.98,632549,241958,-22013
632.4813928,-2.34,632481,241932,-21987
632.462428,-1.47,632462,241925,-21980
632.4055339,-0.98,632405,241903,-21958
632.2955385,-0.51,632295,241861,-21916
632.2576091,-0.99,632257,241846,-21901
632.196922,3.69,632196,241823,-21878
631.9352089,-2.62,631935,241723,-21778
631.5900511,-0.1,631590,241591,-21646
631.5483287,3.67,631548,241575,-21630
631.5028134,1.45,631502,241558,-21613
631.4952275,1.39,631495,241555,-21610
631.4497122,1.19,631449,241537,-21592
631.4307474,1,631430,241530,-21585
631.3131662,0.36,631313,241485,-21540
631.3055803,0.47,631305,241482,-21537
630.1942479,0.28,630194,241057,-21112
629.72013,5.07,629720,240876,-20931
