Age Mya,dC,Depth,Age kya compressed,Plotting Age
,-26.8,3200,209446.5062,10498.49383
,-26.6,3204,209504.1193,10440.88066
,-26.2,3206,209532.9259,10412.07407
,-26.7,3208,209561.7325,10383.26749
,-25.6,3210,209590.5391,10354.46091
,-25.5,3212,209619.3457,10325.65432
,-25.5,3216,209676.9588,10268.04115
,-25.8,3220,209734.572,10210.42798
,-25.9,3224,209792.1852,10152.81482
,-25.9,3226,209820.9918,10124.00823
,-24.1,3228,209849.7984,10095.20165
,-25.4,3240,210022.6379,9922.36214
,-26.3,3250,210166.6708,9778.329218
,-26,3260,210310.7037,9634.296296
,-27.2,3276,210541.1564,9403.843621
,-28.2,3300,210886.8354,9058.164609
,-28.1,3326,211261.321,8683.679012
,-25.3,3360,211751.0329,8193.967078
,-27.6,3376,211981.4856,7963.514403
,-29.3,3380,212039.0988,7905.901235
,-30.2,3396,212269.5514,7675.44856
,-31.1,3400,212327.1646,7617.835391
,-32.5,3404,212384.7778,7560.222222
,-29.4,3416,212557.6173,7387.382716
,-29.8,3420,212615.2305,7329.769547
,-31.2,3426,212701.6502,7243.349794
,-31,3432,212788.07,7156.930041
,-29.9,3440,212903.2963,7041.703704
,-27.5,3450,213047.3292,6897.670782
,-27.4,3460,213191.3621,6753.63786
,-29.5,3468,213306.5885,6638.411523
,-27.8,3476,213421.8148,6523.185185
,-31,3480,213479.428,6465.572016
,-30.7,3490,213623.4609,6321.539095
,-31.6,3500,213767.4938,6177.506173
,-31.3,3510,213911.5267,6033.473251
,-30.7,3520,214055.5597,5889.440329
,-29.8,3530,214199.5926,5745.407407
,-29,3540,214343.6255,5601.374486
,-30.8,3550,214487.6584,5457.341564
,-28.9,3566,214718.1111,5226.888889
,-28.6,3570,214775.7243,5169.27572
,-28.7,3576,214862.144,5082.855967
,-26.8,3580,214919.7572,5025.242798
,-24.4,3590,215063.7901,4881.209877
,-29.6,3610,215351.856,4593.144033
,-28,3620,215495.8889,4449.111111
,-27.1,3624,215553.5021,4391.497942
,-25.7,3626,215582.3086,4362.691358
,-28.5,3630,215639.9218,4305.078189
,-25.8,3636,215726.3416,4218.658436
,-27,3644,215841.5679,4103.432099
,-25.6,3656,216014.4074,3930.592593
,-27.5,3660,216072.0206,3872.979424
,-25.8,3676,216302.4733,3642.526749
,-25.1,3682,216388.893,3556.106996
,-24.9,3692,216532.9259,3412.074074
,-24.7,3702,216676.9588,3268.041152
,-26.1,3706,216734.572,3210.427984
,-25.8,3712,216820.9918,3124.00823
,-25.7,3716,216878.6049,3066.395062
,-24.5,3722,216965.0247,2979.975309
,-26.2,3726,217022.6379,2922.36214
,-23.8,3732,217109.0576,2835.942387
,-25,3736,217166.6708,2778.329218
,-24.4,3742,217253.0905,2691.909465
,-25.7,3746,217310.7037,2634.296296
,-25,3750,217368.3169,2576.683128
,-26.3,3752,217397.1235,2547.876543
,-24,3756,217454.7366,2490.263374
,-26.2,3762,217541.1564,2403.843621
,-25.3,3790,217944.4486,2000.55144
,-26.8,3806,218174.9012,1770.098765
,-26.8,3808,218203.7078,1741.292181
,-28.3,3810,218232.5144,1712.485597
,-27.2,3812,218261.321,1683.679012
,-25.4,3816,218318.9342,1626.065844
,-26.5,3818,218347.7407,1597.259259
,-27,3820,218376.5473,1568.452675
,-26,3822,218405.3539,1539.646091
,-26.6,3826,218462.9671,1482.032922
,-27.4,3830,218520.5802,1424.419753
,-25.6,3832,218549.3868,1395.613169
